RUN	com.jeppesen.ncs.PerformanceSimulation	performancesimulation	1730124511514	 	3.0.2
USER	Load - Runway	1	START	1730124511941	1730124511941
USER	Load - Runway	2	START	1730124512293	1730124512293
USER	Load - Runway	3	START	1730124512358	1730124512358
USER	Load - Runway	4	START	1730124512400	1730124512400
USER	Load - Runway	5	START	1730124512423	1730124512423
USER	Load - Runway	6	START	1730124512458	1730124512458
USER	Load - Runway	7	START	1730124512472	1730124512472
USER	Load - Runway	8	START	1730124512496	1730124512496
USER	Load - Runway	9	START	1730124512509	1730124512509
USER	Load - Runway	10	START	1730124512525	1730124512525
USER	Load - Runway	11	START	1730124512543	1730124512543
USER	Load - Runway	12	START	1730124512551	1730124512551
USER	Load - Runway	13	START	1730124512558	1730124512558
USER	Load - Runway	14	START	1730124512564	1730124512564
USER	Load - Runway	15	START	1730124512571	1730124512571
USER	Load - Runway	16	START	1730124512583	1730124512583
USER	Load - Runway	17	START	1730124512596	1730124512596
USER	Load - Runway	18	START	1730124512608	1730124512608
USER	Load - Runway	19	START	1730124512623	1730124512623
USER	Load - Runway	20	START	1730124512633	1730124512633
USER	Load - Runway	21	START	1730124512645	1730124512645
USER	Load - Runway	22	START	1730124512654	1730124512654
USER	Load - Runway	23	START	1730124512663	1730124512663
USER	Load - Runway	24	START	1730124512671	1730124512671
USER	Load - Runway	25	START	1730124512683	1730124512683
USER	Load - Runway	26	START	1730124512693	1730124512693
USER	Load - Runway	27	START	1730124512711	1730124512711
USER	Load - Runway	28	START	1730124512720	1730124512720
USER	Load - Runway	29	START	1730124512737	1730124512737
USER	Load - Runway	30	START	1730124512753	1730124512753
USER	Load - Runway	31	START	1730124512787	1730124512787
USER	Load - Runway	32	START	1730124512796	1730124512796
USER	Load - Runway	33	START	1730124512803	1730124512803
USER	Load - Runway	34	START	1730124512816	1730124512816
USER	Load - Runway	35	START	1730124512835	1730124512835
USER	Load - Runway	36	START	1730124512852	1730124512852
USER	Load - Runway	37	START	1730124512889	1730124512889
USER	Load - Runway	38	START	1730124512895	1730124512895
USER	Load - Runway	39	START	1730124512908	1730124512908
USER	Load - Runway	40	START	1730124512915	1730124512915
USER	Load - Runway	41	START	1730124512930	1730124512930
USER	Load - Runway	42	START	1730124512939	1730124512939
USER	Load - Runway	43	START	1730124512948	1730124512948
USER	Load - Runway	44	START	1730124512955	1730124512955
USER	Load - Runway	45	START	1730124512961	1730124512961
USER	Load - Runway	46	START	1730124512969	1730124512969
USER	Load - Runway	47	START	1730124512980	1730124512980
USER	Load - Runway	48	START	1730124512997	1730124512997
USER	Load - Runway	49	START	1730124513004	1730124513004
USER	Load - Runway	50	START	1730124513011	1730124513011
USER	Load - Runway	51	START	1730124513023	1730124513023
USER	Load - Runway	52	START	1730124513042	1730124513042
USER	Load - Runway	53	START	1730124513060	1730124513060
USER	Load - Runway	54	START	1730124513069	1730124513069
USER	Load - Runway	55	START	1730124513076	1730124513076
USER	Load - Runway	56	START	1730124513085	1730124513085
USER	Load - Runway	57	START	1730124513104	1730124513104
USER	Load - Runway	58	START	1730124513110	1730124513110
USER	Load - Runway	59	START	1730124513118	1730124513118
USER	Load - Runway	60	START	1730124513124	1730124513124
USER	Load - Runway	61	START	1730124513130	1730124513130
USER	Load - Runway	62	START	1730124513137	1730124513137
USER	Load - Runway	63	START	1730124513147	1730124513147
USER	Load - Runway	64	START	1730124513154	1730124513154
USER	Load - Runway	65	START	1730124513161	1730124513161
USER	Load - Runway	66	START	1730124513175	1730124513175
USER	Load - Runway	67	START	1730124513181	1730124513181
USER	Load - Runway	68	START	1730124513186	1730124513186
USER	Load - Runway	69	START	1730124513193	1730124513193
USER	Load - Runway	70	START	1730124513199	1730124513199
USER	Load - Runway	71	START	1730124513205	1730124513205
USER	Load - Runway	72	START	1730124513211	1730124513211
USER	Load - Runway	73	START	1730124513240	1730124513240
USER	Load - Runway	74	START	1730124513254	1730124513254
USER	Load - Runway	75	START	1730124513270	1730124513270
USER	Load - Runway	76	START	1730124513276	1730124513276
USER	Load - Runway	77	START	1730124513282	1730124513282
USER	Load - Runway	78	START	1730124513298	1730124513298
USER	Load - Runway	79	START	1730124513306	1730124513306
USER	Load - Runway	80	START	1730124513314	1730124513314
USER	Load - Runway	81	START	1730124513409	1730124513409
USER	Load - Runway	82	START	1730124513420	1730124513420
USER	Load - Runway	83	START	1730124513432	1730124513432
USER	Load - Runway	84	START	1730124513459	1730124513459
USER	Load - Runway	85	START	1730124513483	1730124513483
USER	Load - Runway	86	START	1730124513494	1730124513494
USER	Load - Runway	87	START	1730124513504	1730124513504
USER	Load - Runway	88	START	1730124513510	1730124513510
USER	Load - Runway	89	START	1730124513519	1730124513519
USER	Load - Runway	90	START	1730124513527	1730124513527
USER	Load - Runway	91	START	1730124513534	1730124513534
USER	Load - Runway	92	START	1730124513541	1730124513541
USER	Load - Runway	93	START	1730124513550	1730124513550
USER	Load - Runway	94	START	1730124513567	1730124513567
USER	Load - Runway	95	START	1730124513585	1730124513585
USER	Load - Runway	96	START	1730124513591	1730124513591
USER	Load - Runway	97	START	1730124513597	1730124513597
USER	Load - Runway	98	START	1730124513604	1730124513604
USER	Load - Runway	99	START	1730124513611	1730124513611
USER	Load - Runway	100	START	1730124513632	1730124513632
USER	Load - Runway	101	START	1730124513640	1730124513640
USER	Load - Runway	102	START	1730124513648	1730124513648
USER	Load - Runway	103	START	1730124513656	1730124513656
USER	Load - Runway	104	START	1730124513668	1730124513668
USER	Load - Runway	105	START	1730124513683	1730124513683
USER	Load - Runway	106	START	1730124513689	1730124513689
USER	Load - Runway	107	START	1730124513696	1730124513696
USER	Load - Runway	108	START	1730124513702	1730124513702
USER	Load - Runway	109	START	1730124513709	1730124513709
USER	Load - Runway	110	START	1730124513716	1730124513716
USER	Load - Runway	111	START	1730124513745	1730124513745
USER	Load - Runway	112	START	1730124513764	1730124513764
USER	Load - Runway	113	START	1730124513786	1730124513786
USER	Load - Runway	114	START	1730124513792	1730124513792
USER	Load - Runway	115	START	1730124513825	1730124513825
USER	Load - Runway	116	START	1730124513833	1730124513833
USER	Load - Runway	117	START	1730124513841	1730124513841
USER	Load - Runway	118	START	1730124513849	1730124513849
USER	Load - Runway	119	START	1730124513857	1730124513857
USER	Load - Runway	120	START	1730124513872	1730124513872
USER	Load - Runway	121	START	1730124513879	1730124513879
USER	Load - Runway	122	START	1730124513884	1730124513884
USER	Load - Runway	123	START	1730124513890	1730124513890
USER	Load - Runway	124	START	1730124513895	1730124513895
USER	Load - Runway	125	START	1730124513901	1730124513901
USER	Load - Runway	126	START	1730124513906	1730124513906
USER	Load - Runway	127	START	1730124513914	1730124513914
USER	Load - Runway	128	START	1730124513922	1730124513922
USER	Load - Runway	129	START	1730124513966	1730124513966
USER	Load - Runway	130	START	1730124513973	1730124513973
USER	Load - Runway	131	START	1730124513979	1730124513979
USER	Load - Runway	132	START	1730124513985	1730124513985
USER	Load - Runway	133	START	1730124513997	1730124513997
USER	Load - Runway	134	START	1730124514009	1730124514009
USER	Load - Runway	135	START	1730124514047	1730124514047
USER	Load - Runway	136	START	1730124514053	1730124514053
USER	Load - Runway	137	START	1730124514068	1730124514068
USER	Load - Runway	138	START	1730124514108	1730124514108
USER	Load - Runway	139	START	1730124514114	1730124514114
USER	Load - Runway	140	START	1730124514142	1730124514142
USER	Load - Runway	141	START	1730124514152	1730124514152
USER	Load - Runway	142	START	1730124514169	1730124514169
USER	Load - Runway	143	START	1730124514222	1730124514222
USER	Load - Runway	144	START	1730124514228	1730124514228
USER	Load - Runway	145	START	1730124514234	1730124514234
USER	Load - Runway	146	START	1730124514240	1730124514240
USER	Load - Runway	147	START	1730124514262	1730124514262
USER	Load - Runway	148	START	1730124514299	1730124514299
USER	Load - Runway	149	START	1730124514320	1730124514320
USER	Load - Runway	150	START	1730124514351	1730124514351
USER	Load - Runway	151	START	1730124514358	1730124514358
USER	Load - Runway	152	START	1730124514370	1730124514370
USER	Load - Runway	153	START	1730124514378	1730124514378
USER	Load - Runway	154	START	1730124514384	1730124514384
USER	Load - Runway	155	START	1730124514437	1730124514437
USER	Load - Runway	156	START	1730124514455	1730124514455
USER	Load - Runway	157	START	1730124514462	1730124514462
USER	Load - Runway	158	START	1730124514467	1730124514467
USER	Load - Runway	159	START	1730124514472	1730124514472
USER	Load - Runway	160	START	1730124514478	1730124514478
USER	Load - Runway	161	START	1730124514504	1730124514504
USER	Load - Runway	162	START	1730124514533	1730124514533
USER	Load - Runway	163	START	1730124514549	1730124514549
USER	Load - Runway	164	START	1730124514558	1730124514558
USER	Load - Runway	165	START	1730124514620	1730124514620
USER	Load - Runway	166	START	1730124514627	1730124514627
USER	Load - Runway	167	START	1730124514634	1730124514634
USER	Load - Runway	168	START	1730124514641	1730124514641
USER	Load - Runway	169	START	1730124514649	1730124514649
USER	Load - Runway	170	START	1730124514702	1730124514702
USER	Load - Runway	171	START	1730124514714	1730124514714
USER	Load - Runway	172	START	1730124514721	1730124514721
USER	Load - Runway	173	START	1730124514728	1730124514728
USER	Load - Runway	174	START	1730124514769	1730124514769
USER	Load - Runway	175	START	1730124514775	1730124514775
USER	Load - Runway	176	START	1730124514782	1730124514782
USER	Load - Runway	177	START	1730124514790	1730124514790
USER	Load - Runway	178	START	1730124514795	1730124514795
USER	Load - Runway	179	START	1730124514818	1730124514818
USER	Load - Runway	180	START	1730124514829	1730124514829
USER	Load - Runway	181	START	1730124514834	1730124514834
USER	Load - Runway	182	START	1730124514852	1730124514852
USER	Load - Runway	183	START	1730124514859	1730124514859
USER	Load - Runway	184	START	1730124514878	1730124514878
USER	Load - Runway	185	START	1730124514905	1730124514905
USER	Load - Runway	186	START	1730124514911	1730124514911
USER	Load - Runway	187	START	1730124514916	1730124514916
USER	Load - Runway	188	START	1730124514925	1730124514925
USER	Load - Runway	189	START	1730124514931	1730124514931
USER	Load - Runway	190	START	1730124514938	1730124514938
USER	Load - Runway	191	START	1730124514946	1730124514946
USER	Load - Runway	192	START	1730124514977	1730124514977
USER	Load - Runway	193	START	1730124514983	1730124514983
USER	Load - Runway	194	START	1730124514993	1730124514993
USER	Load - Runway	195	START	1730124514999	1730124514999
USER	Load - Runway	196	START	1730124515007	1730124515007
USER	Load - Runway	197	START	1730124515012	1730124515012
USER	Load - Runway	198	START	1730124515019	1730124515019
USER	Load - Runway	199	START	1730124515028	1730124515028
USER	Load - Runway	200	START	1730124515038	1730124515038
USER	Load - Runway	201	START	1730124515061	1730124515061
USER	Load - Runway	202	START	1730124515068	1730124515068
USER	Load - Runway	203	START	1730124515075	1730124515075
USER	Load - Runway	204	START	1730124515095	1730124515095
USER	Load - Runway	205	START	1730124515103	1730124515103
USER	Load - Runway	206	START	1730124515110	1730124515110
USER	Load - Runway	207	START	1730124515117	1730124515117
USER	Load - Runway	208	START	1730124515144	1730124515144
USER	Load - Runway	209	START	1730124515151	1730124515151
USER	Load - Runway	210	START	1730124515158	1730124515158
USER	Load - Runway	211	START	1730124515176	1730124515176
USER	Load - Runway	212	START	1730124515182	1730124515182
USER	Load - Runway	213	START	1730124515239	1730124515239
USER	Load - Runway	214	START	1730124515247	1730124515247
USER	Load - Runway	215	START	1730124515258	1730124515258
USER	Load - Runway	216	START	1730124515276	1730124515276
USER	Load - Runway	217	START	1730124515283	1730124515283
USER	Load - Runway	218	START	1730124515321	1730124515321
USER	Load - Runway	219	START	1730124515362	1730124515362
USER	Load - Runway	220	START	1730124515372	1730124515372
USER	Load - Runway	221	START	1730124515387	1730124515387
USER	Load - Runway	222	START	1730124515413	1730124515413
USER	Load - Runway	223	START	1730124515432	1730124515432
USER	Load - Runway	224	START	1730124515451	1730124515451
USER	Load - Runway	225	START	1730124515457	1730124515457
USER	Load - Runway	226	START	1730124515462	1730124515462
USER	Load - Runway	227	START	1730124515467	1730124515467
USER	Load - Runway	228	START	1730124515473	1730124515473
USER	Load - Runway	229	START	1730124515500	1730124515500
USER	Load - Runway	230	START	1730124515506	1730124515506
USER	Load - Runway	231	START	1730124515511	1730124515511
USER	Load - Runway	232	START	1730124515517	1730124515517
USER	Load - Runway	233	START	1730124515556	1730124515556
USER	Load - Runway	234	START	1730124515562	1730124515562
USER	Load - Runway	235	START	1730124515571	1730124515571
USER	Load - Runway	236	START	1730124515582	1730124515582
USER	Load - Runway	237	START	1730124515593	1730124515593
USER	Load - Runway	238	START	1730124515615	1730124515615
USER	Load - Runway	239	START	1730124515622	1730124515622
USER	Load - Runway	240	START	1730124515630	1730124515630
USER	Load - Runway	241	START	1730124515640	1730124515640
USER	Load - Runway	242	START	1730124515667	1730124515667
USER	Load - Runway	243	START	1730124515675	1730124515675
USER	Load - Runway	244	START	1730124515680	1730124515680
USER	Load - Runway	245	START	1730124515686	1730124515686
USER	Load - Runway	246	START	1730124515694	1730124515694
USER	Load - Runway	247	START	1730124515700	1730124515700
USER	Load - Runway	248	START	1730124515732	1730124515732
USER	Load - Runway	249	START	1730124515741	1730124515741
USER	Load - Runway	250	START	1730124515754	1730124515754
USER	Load - Runway	251	START	1730124515762	1730124515762
USER	Load - Runway	252	START	1730124515772	1730124515772
USER	Load - Runway	253	START	1730124515816	1730124515816
USER	Load - Runway	254	START	1730124515828	1730124515828
USER	Load - Runway	255	START	1730124515836	1730124515836
USER	Load - Runway	256	START	1730124515856	1730124515856
USER	Load - Runway	257	START	1730124515879	1730124515879
USER	Load - Runway	258	START	1730124515891	1730124515891
USER	Load - Runway	259	START	1730124515897	1730124515897
USER	Load - Runway	260	START	1730124515904	1730124515904
USER	Load - Runway	261	START	1730124515910	1730124515910
USER	Load - Runway	262	START	1730124515916	1730124515916
USER	Load - Runway	263	START	1730124515928	1730124515928
USER	Load - Runway	264	START	1730124515943	1730124515943
USER	Load - Runway	265	START	1730124515948	1730124515948
USER	Load - Runway	266	START	1730124515966	1730124515966
USER	Load - Runway	267	START	1730124515971	1730124515971
USER	Load - Runway	268	START	1730124515976	1730124515976
USER	Load - Runway	269	START	1730124515981	1730124515981
USER	Load - Runway	270	START	1730124516025	1730124516025
USER	Load - Runway	271	START	1730124516030	1730124516030
USER	Load - Runway	272	START	1730124516035	1730124516035
USER	Load - Runway	273	START	1730124516055	1730124516055
USER	Load - Runway	274	START	1730124516061	1730124516061
USER	Load - Runway	275	START	1730124516066	1730124516066
USER	Load - Runway	276	START	1730124516102	1730124516102
USER	Load - Runway	277	START	1730124516107	1730124516107
USER	Load - Runway	278	START	1730124516112	1730124516112
USER	Load - Runway	279	START	1730124516139	1730124516139
USER	Load - Runway	280	START	1730124516155	1730124516155
USER	Load - Runway	281	START	1730124516171	1730124516171
USER	Load - Runway	282	START	1730124516179	1730124516179
USER	Load - Runway	283	START	1730124516217	1730124516217
USER	Load - Runway	284	START	1730124516256	1730124516256
USER	Load - Runway	285	START	1730124516265	1730124516265
USER	Load - Runway	286	START	1730124516289	1730124516289
USER	Load - Runway	287	START	1730124516298	1730124516298
USER	Load - Runway	288	START	1730124516304	1730124516304
USER	Load - Runway	289	START	1730124516360	1730124516360
USER	Load - Runway	290	START	1730124516408	1730124516408
USER	Load - Runway	291	START	1730124516420	1730124516420
USER	Load - Runway	292	START	1730124516425	1730124516425
USER	Load - Runway	293	START	1730124516456	1730124516456
USER	Load - Runway	294	START	1730124516463	1730124516463
USER	Load - Runway	295	START	1730124516598	1730124516598
USER	Load - Runway	296	START	1730124516606	1730124516606
USER	Load - Runway	297	START	1730124516611	1730124516611
USER	Load - Runway	298	START	1730124516627	1730124516627
USER	Load - Runway	299	START	1730124516641	1730124516641
USER	Load - Runway	300	START	1730124516648	1730124516648
USER	Load - Runway	301	START	1730124516656	1730124516656
